"","repeat_id","expt","analysis_type","true_base","b_base_lower","b_base_med","b_base_upper","b_base_error","true_sex","b_sex_p_value","b_sex_lower","b_sex_med","b_sex_upper","b_sex_error","true_cond","b_cond_p_value","b_cond_lower","b_cond_med","b_cond_upper","b_cond_error","true_sex_cond","b_sex_cond_p_value","b_sex_cond_lower","b_sex_cond_med","b_sex_cond_upper","b_sex_cond_error","pp_true","pb_true"
"215",1,35,"pp",0,0.494119820079836,0.547356873994429,0.603597811902106,0.0283897381400258,0,NA,-0.0731247595394362,-0.00931546791215407,0.0544932963423413,0.0328903077381629,0,NA,-0.0926391451018654,-0.0285800253615138,0.0350796508424655,0.0327829360913977,2,NA,0.334125494804005,0.363948864703568,0.393112734116058,0.0147004409875356,1,1
"216",1,36,"pp",0,0.400008350415992,0.451305101572678,0.505087772721393,0.0267213358313085,0,NA,-0.0565275767770635,0.00484435566172248,0.0660267869650306,0.0311823491576131,0,NA,0.00757772817448164,0.0663489394929157,0.124019950923356,0.0303755694886306,2,NA,0.333227621668135,0.361214398397693,0.390675793808353,0.0147893721830949,0,1
"217",1,37,"pp",0,0.430934350787445,0.493158020480201,0.549597089043153,0.0297214283157098,0,NA,-0.0724946453505078,-0.00495169599110281,0.0650348727874314,0.0350799367496161,0,NA,-0.0688518366548985,-0.00452581056490981,0.0593606439321508,0.0326886863147608,2,NA,0.33850564873128,0.366139016271891,0.395258542899014,0.0144493321687421,0,1
"218",1,38,"pp",0,0.458301414843754,0.5056285092014,0.555275895276806,0.0248721341731405,0,NA,-0.055049359874144,0.00243491916435384,0.0589026563680964,0.0284955861592089,0,NA,-0.067852961391208,-0.00844449502176497,0.0486845311063653,0.0298056842420711,2,NA,0.337929943886068,0.36629958440486,0.393821070439865,0.0142672340343552,0,1
"219",1,39,"pp",0,0.473766156440037,0.527820405094015,0.581759251743075,0.0278229471917102,0,NA,-0.0732557544070583,-0.011653218016724,0.0464393394772557,0.0306443776441836,0,NA,-0.0781586568235782,-0.0170716464254655,0.041522225503806,0.032003453403518,2,NA,0.329709080294471,0.357920113920471,0.385751658922216,0.0142102554165071,0,1
"220",1,40,"pp",0,0.481901365337591,0.537587700619598,0.589315437183242,0.0275012023444178,0,NA,-0.0795518424385131,-0.0207718833957821,0.040235142202444,0.0308663228862694,0,NA,-0.0869086847111215,-0.0306341291571723,0.0310492147468996,0.0304174020557657,2,NA,0.336957397412346,0.365644489171582,0.394490757654058,0.0145574019633019,0,1
"221",1,41,"pp",0,0.433018542209022,0.489888078980812,0.546763640134483,0.029788545292327,0,NA,-0.062272015000204,0.00161965280684339,0.0716196793648437,0.0338609627235442,0,NA,-0.0546356481092102,0.0149972482443058,0.0803998260878699,0.0345275808967512,2,NA,0.340389337490013,0.368455247190198,0.394630514314515,0.0139837403576,1,1
"222",1,42,"pp",0,0.435119841761214,0.490678512745878,0.545012844665245,0.0274585404853666,0,NA,-0.0967276318535784,-0.034700055402992,0.026709757461689,0.0316209101264423,0,NA,-0.0715882273449474,-0.00800252875845541,0.0499593097059279,0.0305612214276625,2,NA,0.346342569639409,0.371588146732381,0.399490203866389,0.0136660675354716,0,1
"223",1,43,"pp",0,0.458672717686139,0.509620107426282,0.559350690951265,0.0258427389198069,0,NA,-0.0480207265924572,0.0062638987836832,0.0629619589835575,0.0287034097082242,0,NA,-0.0739733146220652,-0.0169344085947189,0.0395004489650152,0.0299211816158707,2,NA,0.346074714865462,0.373150894852533,0.399091568566911,0.0136227152545614,0,1
"224",1,44,"pp",0,0.401456132511522,0.448437237327104,0.492694996603328,0.0233710672671512,0,NA,-0.0464694474736547,0.00885096187332441,0.0640612066054771,0.0278625945613742,0,NA,-0.0168805315045026,0.040093142309916,0.0974926836445176,0.0283182709512883,2,NA,0.341572985861387,0.368999065709298,0.393669983862442,0.01326090593502,0,1
"225",1,45,"pp",0,0.423154273999054,0.472719485664097,0.525611711302958,0.0263049600753153,0,NA,-0.046670440921513,0.0126226033481413,0.0750314029148993,0.0310631079601108,0,NA,-0.0445270709258827,0.0102635327014448,0.0677194599430239,0.0293811379982895,2,NA,0.347873012237305,0.374173866405971,0.400680632545885,0.0139377851891914,0,1
"226",1,46,"pp",0,0.442748275930156,0.493283517548375,0.54584280986783,0.026256719477645,0,NA,-0.0502718105533113,0.00899480372240944,0.0684987790978385,0.0297780976992132,0,NA,-0.0465023619643864,0.0142550266462106,0.0692661711108359,0.0298581302844848,2,NA,0.340254506679578,0.365552199313556,0.391714878122133,0.0131676934017813,0,1
"227",1,47,"pp",0,0.461280373941241,0.514428986501564,0.570582293276553,0.0277834811923152,0,NA,-0.0431468163402073,0.0164703172696336,0.0782133597671416,0.0313366093144506,0,NA,-0.0921251337720471,-0.0217659221233508,0.0413340830004556,0.0323752239349184,2,NA,0.340165324181806,0.366955897113379,0.393416287654261,0.0136401947608122,0,1
"228",1,48,"pp",0,0.422920821043453,0.476931606257051,0.529567740959583,0.0277156616901226,0,NA,-0.0576283050090644,0.00368911858741861,0.0639430452446249,0.0312986503453084,0,NA,-0.063934381827012,-0.000589685641638092,0.0605357483561078,0.0312020949268301,2,NA,0.343238787402499,0.367454048576437,0.394372769170143,0.0130312945905669,1,1
"229",1,49,"pp",0,0.457155360202763,0.513402042527539,0.566278900503342,0.0278785893340573,0,NA,-0.0863357507289519,-0.0198351568965689,0.0466909438518571,0.033791320894298,0,NA,-0.103187760528217,-0.041854320869816,0.0194004009025549,0.0324800754898816,2,NA,0.343101707707342,0.367444849668722,0.392416806242627,0.0126559907262467,1,1
"230",1,50,"pp",0,0.464262173000845,0.518414393566156,0.571177409543689,0.0272382878222178,0,NA,0.0087859797315728,0.0700959799520832,0.129726790305502,0.0310161599071656,0,NA,-0.114819997951015,-0.0520393663162696,0.0126316979143179,0.0315820875004152,2,NA,0.339614103138731,0.364409967106542,0.38844352640134,0.0127525141442143,0,1
"231",1,51,"pp",0,0.419183986535544,0.474653144670221,0.529747574404926,0.0277253067724421,0,NA,-0.0351385729147171,0.0295127448311057,0.0948444286487435,0.0336698114307126,0,NA,-0.0774434291152601,-0.0135599510484874,0.0517638390899854,0.0331588276109464,2,NA,0.344249701447126,0.36798896966133,0.392011194094502,0.0121052217583374,1,1
