"","repeat_id","expt","analysis_type","true_base","b_base_lower","b_base_med","b_base_upper","b_base_error","true_sex","b_sex_p_value","b_sex_lower","b_sex_med","b_sex_upper","b_sex_error","true_cond","b_cond_p_value","b_cond_lower","b_cond_med","b_cond_upper","b_cond_error","true_sex_cond","b_sex_cond_p_value","b_sex_cond_lower","b_sex_cond_med","b_sex_cond_upper","b_sex_cond_error"
"67",3,7,"bglmm",0,0.422249686277202,0.488147212891543,0.552122272785875,0.0338741014255228,0,NA,-0.128782780573251,-0.038340489811383,0.0559849651399228,0.0462633507044512,0,NA,-0.121184949089473,-0.0346332122201225,0.0572979621799367,0.0469361291225924,0.5,NA,0.112419654470398,0.244590057059063,0.366319937290242,0.0653430737003196
"68",3,8,"bglmm",0,0.498874098530081,0.570266353848338,0.644246494462322,0.0368346142347448,0,NA,-0.152198569312712,-0.0502894789370593,0.0537625846549524,0.052006473421204,0,NA,-0.190133211424103,-0.0857429422209919,0.0113410982130635,0.051501506367276,0.5,NA,0.0924414754934275,0.237906669498547,0.387494544859709,0.0741877313322196
"69",3,9,"bglmm",0,0.417705355429056,0.486649573133746,0.559023990033271,0.0370970267574638,0,NA,-0.100292293869529,0.00612090449071817,0.108312719822156,0.0527808140759101,0,NA,-0.112087280929129,-0.00145307328338925,0.101487139620238,0.0530416410001671,0.5,NA,-0.0633939267556079,0.0841838444504636,0.23447482590179,0.0746744519531008
"70",3,10,"bglmm",0,0.427959866734516,0.496314014766773,0.564261734581387,0.0347473349959976,0,NA,-0.040430460127966,0.0538510517903947,0.150549485883649,0.0488698348631968,0,NA,-0.0753886622803942,0.0225720982377905,0.11653939939252,0.0486652999411227,0.5,NA,-0.0908124501323022,0.0493900600874224,0.181605775815245,0.0683677039305462
"71",3,1,"bskep",0,0.425495952543283,0.49115678647501,0.556336863293953,0.0338568541177525,0,NA,-0.0491581302012321,0.0374942967498603,0.125198703795336,0.04448951771086,0,NA,-0.0192582115048713,0.0645333294812288,0.146140492443045,0.0426606312457805,0.5,NA,-0.0470347789876552,0.0675447780217425,0.178207896693139,0.0576147250280391
"72",3,2,"bskep",0,0.417322736970473,0.47427787987873,0.530061552047222,0.0285639001206272,0,NA,-0.0339191880803173,0.0422197032049723,0.119411521355074,0.03881650079072,0,NA,-0.0444226653687214,0.0268802565884498,0.102793561576428,0.0381234096345159,0.5,NA,-0.0339825028446447,0.0702774716848504,0.169135406915828,0.0517083476903408
"73",3,3,"bskep",0,0.441950191159522,0.498663000230281,0.556942356510654,0.0293841021236755,0,NA,-0.0519025205613014,0.0246154378779557,0.100180227321845,0.0394870745472249,0,NA,0.00849508041544953,0.0834169013380351,0.163263747482644,0.0393799410855479,0.5,NA,-0.00976650669439798,0.0916432074236289,0.189558183134364,0.050967075928153
"74",3,4,"bskep",0,0.475631502205811,0.532009353554446,0.5870827533207,0.0292728045363175,0,NA,-0.0110510236549489,0.0641691871242902,0.140858836786915,0.0390236314520475,0,NA,-0.0833811008696413,-0.0104072281767651,0.065534750969938,0.0386154910191506,0.5,NA,-0.0872380151434627,0.0162677785793052,0.112060611101779,0.0523724874932237
"75",3,5,"bskep",0,0.438072802975193,0.502811803497877,0.567860986488806,0.0330061083165289,0,NA,-0.0658962497444941,0.0194431089162741,0.102406793744557,0.0428820601085554,0,NA,-0.0887477685163408,-0.00375543612726602,0.0791988919345977,0.0436148880022138,0.5,NA,-0.0288005141474346,0.0815989166094279,0.191430506606829,0.0566922359030684
"76",3,6,"bskep",0,0.432091847306049,0.494788390598475,0.556133029020131,0.0312232134931536,0,NA,-0.0432570486042141,0.0379220125912087,0.115703329228187,0.0404716383929273,0,NA,-0.0676832903094503,0.0114326220712857,0.0917750025209997,0.0408944210739282,0.5,NA,-0.0297867433599917,0.0730231421470861,0.178652002932451,0.0539812418591824
"77",3,7,"bskep",0,0.408578662605409,0.468997536658949,0.529106901556551,0.0310007160215754,0,NA,-0.0832192083667209,-0.00155694392492861,0.0801984755194723,0.0416850317112243,0,NA,-0.0738177617379678,0.00644403704975424,0.0879609471205395,0.0410162505813074,0.5,NA,0.0534365534251612,0.161584699908792,0.268774970946622,0.0548965344778556
"78",3,8,"bskep",0,0.466261149633653,0.539563452377407,0.609034758187498,0.0348743461948602,0,NA,-0.0847753164746925,-0.00199516554531641,0.0813132302021273,0.0441216361128688,0,NA,-0.119196473722197,-0.031133380567169,0.0549082154588722,0.0441627553557348,0.5,NA,0.0259265761539763,0.142188487222926,0.249555735710117,0.0570484925416654
"79",3,9,"bskep",0,0.414500097577838,0.482061987689374,0.545545732467486,0.0328709254925464,0,NA,-0.0685692944263399,0.0154648186795358,0.0997851086763426,0.0430971419018508,0,NA,-0.0745692322507448,0.00824757978089924,0.0913982961961531,0.0428259859437356,0.5,NA,-0.0547166317619621,0.0603039718454548,0.167178453237502,0.0570475210625269
"80",3,10,"bskep",0,0.435510974434138,0.498311637921593,0.562248528302409,0.0322287040108683,0,NA,-0.0338387258204124,0.0503423282718018,0.134496563700671,0.0425886339832947,0,NA,-0.0581885255995617,0.021943443541771,0.103251032382431,0.0405783302714323,0.5,NA,-0.0593123441460196,0.0430297826613062,0.151542632575832,0.0536459095403022
"81",3,1,"pp",0,0.434520509338266,0.499422129011006,0.56384397539679,0.0336466509800917,0,NA,-0.03233170540691,0.0502428687510089,0.135652890201983,0.0425670874171935,0,NA,-0.0677657315200773,0.021721849920996,0.106883317012842,0.0439966440277817,0.5,NA,-0.062859947195791,0.0416031156561299,0.148551129361465,0.0544302991824791
"82",3,2,"pp",0,0.434859647150883,0.499821888536941,0.561557954029274,0.0321671891438157,0,NA,-0.0334279310760716,0.0497548633642249,0.132908943814508,0.0426273583635782,0,NA,-0.0606991391286215,0.022048172696571,0.105541613187841,0.0420443947260049,0.5,NA,-0.0649593973710325,0.0410309912660121,0.150704927505009,0.0551223753891364
"83",3,3,"pp",0,0.436111062677417,0.49943953847131,0.560393355078169,0.0320286564020055,0,NA,-0.0340074661401314,0.0493321932839434,0.129497678344696,0.0411131059147211,0,NA,-0.0589087056477078,0.0221376757288624,0.104149728883621,0.0417809323785417,0.5,NA,-0.0642644823070697,0.0423978294977949,0.150901265054921,0.0547124617446144
